,CUSTOMER_CODE,CUSTOMER_GROUP,ITEM_CODE,Model,MaterialName,DIAMETER1,DIAMETER2,THICKNESS,LENGTH,ColorName,ProcessName,SurfaceName,INV_DV,HideInCUS030
455,C07038,TTVN,|0200230841|19.10|0.00|1.200|0.000,,STKM13A,19.1,0.0,1.2,1596.0,NBC,Brushing,Cold  Rolled Steel ,,False
457,C07002,YAMAHA,|0200226117|31.80|0.00|2.000|0.000,,STKMHT490,31.8,0.0,2.0,606.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
459,C07002,YAMAHA,|0200226240|25.40|0.00|2.300|0.000,,STKMHT590,25.4,0.0,2.3,443.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
462,C07038,TTVN,|0200230841|12.70|0.00|1.200|0.000,,STKM13A,12.7,0.0,1.2,2071.0,NBC,Brushing,Cold  Rolled Steel ,,False
463,C07029,HONDA,|0200226010|19.10|0.00|2.300|0.000,K1NA,STAM390G,19.1,0.0,2.3,6265.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
464,C07029,HONDA,|0200226010|22.20|0.00|2.000|0.000,K12M,STAM390G,22.2,0.0,2.0,6250.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
465,C07038,TTVN,|0200230841|19.10|0.00|1.200|0.000,,STKM13A,19.1,0.0,1.2,1054.0,NBC,Brushing,Cold  Rolled Steel ,,False
466,C07031,HONDA,|0200226010|25.40|0.00|2.000|0.000,,STAM390G,25.4,0.0,2.0,6372.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
467,C07001,HONDA,|0200226010|25.40|0.00|2.000|0.000,"K1WF
",STAM390G,25.4,0.0,2.0,5200.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
468,C07002,YAMAHA,|0200226240|25.40|0.00|2.000|0.000,,STKMHT590,25.4,0.0,2.0,683.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
469,C07002,YAMAHA,|0200226240|28.60|0.00|2.300|0.000,,STKMHT590,28.6,0.0,2.3,376.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
470,C07001,HONDA,|0200226010|38.10|0.00|2.600|0.000,K1WF,STAM390G,38.1,0.0,2.6,5000.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
472,C07038,TTVN,|0200220810|22.20|0.00|1.600|0.000,,STKM13A,22.2,0.0,1.6,5900.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
474,C07029,HONDA,|0200226010|22.20|0.00|2.000|0.000,K0RA,STAM390G,22.2,0.0,2.0,6410.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
475,C07038,VINFAST,|0200220810|31.80|0.00|2.000|0.000,,STKM13A,31.8,0.0,2.0,6000.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
478,C07002,YAMAHA,|0200226240|31.80|0.00|3.200|0.000,,STKMHT590,31.8,0.0,3.2,481.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
479,C07002,YAMAHA,|0200226240|31.80|0.00|3.200|0.000,,STKMHT590,31.8,0.0,3.2,469.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
480,C07038,TTVN,|0200226010|15.90|0.00|2.000|0.000,,STAM390G,15.9,0.0,2.0,5300.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
484,C07038,TTVN,|0200230841|12.70|0.00|1.200|0.000,,STKM13A,12.7,0.0,1.2,963.5,NBC,Brushing,Cold  Rolled Steel ,,False
486,C07002,YAMAHA,|0200226240|28.60|0.00|2.300|0.000,,STKMHT590,28.6,0.0,2.3,435.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
489,C07002,YAMAHA,|0200226117|19.10|0.00|2.000|0.000,,STKMHT490,19.1,0.0,2.0,570.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
490,C07031,HONDA,|0200236041|19.10|0.00|1.200|0.000,,STAM390G,19.1,0.0,1.2,5510.0,NBC,Piping(Pre-End),Cold  Rolled Steel ,,False
491,C07038,TTVN,|0200220810|25.40|0.00|1.600|0.000,,STKM13A,25.4,0.0,1.6,590.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
495,C07038,TTVN,|0200230841|25.40|0.00|1.200|0.000,,STKM13A,25.4,0.0,1.2,1271.0,NBC,Brushing,Cold  Rolled Steel ,,False
496,C07031,HONDA,|0200226010|42.70|0.00|2.000|0.000,,STAM390G,42.7,0.0,2.0,6078.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
