CUSTOMER_CODE,ITEM_CODE,GROUP_CODE,GROUP_NAME,DIAMETER1,DIAMETER2,THICKNESS,LENGTH,BeatCut,TotalLast_StockOut,TotalStockOut,HisStockOut,StockOut,TotalCurrentStock,TotalPln,PlnQty,future_Stock,ikey
,|0200262901|22.20|0.00|1.200|0.000,29,SUS409L,22.2,0.0,1.2,5853.0,IBC,,,,,1106.0,,,1106.0,29xSUS409Lx22.2x0x1.2x5853
C07032,|0200262901|25.40|0.00|1.200|0.000,29,SUS409L,25.4,0.0,1.2,330.0,IBC,1818.0,2577.0,1818.0,2577.0,1818.0,158.0,158.0,1660.0,29xSUS409Lx25.4x0x1.2x330
,|0200262901|25.40|0.00|1.200|0.000,29,SUS409L,25.4,0.0,1.2,500.0,IBC,,,,,339.0,,,339.0,29xSUS409Lx25.4x0x1.2x500
,|0200262901|25.40|0.00|1.200|0.000,29,SUS409L,25.4,0.0,1.2,6049.0,IBC,,,,,789.0,,,789.0,29xSUS409Lx25.4x0x1.2x6049
C07005,|0200262901|45.00|0.00|1.200|0.000,29,SUS409L,45.0,0.0,1.2,1000.0,NBC,6.0,4.0,6.0,4.0,96.0,,,96.0,29xSUS409Lx45x0x1.2x1000
,|0200225939|15.90|0.00|2.000|0.000,59,STAM290GA,15.9,0.0,2.0,1635.0,NBC,,,,,3960.0,,,3960.0,59xSTAM290GAx15.9x0x2x1635
C07031,|0200225900|15.00|10.30|2.350|0.000,59,STAM290GA,15.0,10.3,2.35,5700.0,IBC,449.0,669.0,169.0,504.0,1308.0,,,1308.0,59xSTAM290GAx15x10.3x2.35x5700
C07045,|0200225900|15.00|10.30|2.350|0.000,59,STAM290GA,15.0,10.3,2.35,5700.0,IBC,449.0,669.0,280.0,165.0,1308.0,,,1308.0,59xSTAM290GAx15x10.3x2.35x5700
C07029,|0200225900|15.00|10.30|2.350|0.000,59,STAM290GA,15.0,10.3,2.35,6200.0,IBC,2727.0,845.0,2727.0,845.0,4207.0,845.0,845.0,3362.0,59xSTAM290GAx15x10.3x2.35x6200
C07002,|0200225939|19.10|0.00|1.600|0.000,59,STAM290GA,19.1,0.0,1.6,135.0,NBC,732.0,,732.0,0.0,478.0,410.0,410.0,68.0,59xSTAM290GAx19.1x0x1.6x135
,|0200225939|19.10|0.00|1.600|0.000,59,STAM290GA,19.1,0.0,1.6,5692.0,NBC,,,,,112.0,,,112.0,59xSTAM290GAx19.1x0x1.6x5692
C07037,|0200225939|19.10|0.00|2.300|0.000,59,STAM290GA,19.1,0.0,2.3,5500.0,NBC,845.0,845.0,845.0,845.0,1384.0,,,1384.0,59xSTAM290GAx19.1x0x2.3x5500
C07037,|0200225939|19.10|0.00|2.300|0.000,59,STAM290GA,19.1,0.0,2.3,6000.0,NBC,1521.0,1959.0,0.0,169.0,2535.0,,,2535.0,59xSTAM290GAx19.1x0x2.3x6000
C07056,|0200225939|19.10|0.00|2.300|0.000,59,STAM290GA,19.1,0.0,2.3,6000.0,NBC,1521.0,1959.0,1521.0,1790.0,2535.0,,,2535.0,59xSTAM290GAx19.1x0x2.3x6000
C07031,|0200225900|21.70|16.50|2.600|0.000,59,STAM290GA,21.7,16.5,2.6,5400.0,IBC,125.0,,125.0,0.0,498.0,127.0,127.0,371.0,59xSTAM290GAx21.7x16.5x2.6x5400
C07031,|0200225939|22.20|0.00|2.000|0.000,59,STAM290GA,22.2,0.0,2.0,5900.0,NBC,762.0,127.0,762.0,127.0,635.0,,,635.0,59xSTAM290GAx22.2x0x2x5900
C07032,|0200235920|25.40|0.00|1.200|0.000,59,STAM290GA,25.4,0.0,1.2,527.0,IBC,10.0,,10.0,0.0,1090.0,,,1090.0,59xSTAM290GAx25.4x0x1.2x527
,|0200235920|25.40|0.00|1.200|0.000,59,STAM290GA,25.4,0.0,1.2,5892.0,IBC,,,,,43.0,,,43.0,59xSTAM290GAx25.4x0x1.2x5892
C07031,|0200226010|15.90|0.00|1.600|0.000,60,STAM390G,15.9,0.0,1.6,5830.0,NBC,868.0,434.0,868.0,434.0,501.0,,,501.0,60xSTAM390Gx15.9x0x1.6x5830
C07031,|0200226010|15.90|0.00|2.000|0.000,60,STAM390G,15.9,0.0,2.0,5500.0,NBC,217.0,217.0,217.0,217.0,238.0,,,238.0,60xSTAM390Gx15.9x0x2x5500
C07001,|0200236041|17.30|0.00|1.200|0.000,60,STAM390G,17.3,0.0,1.2,5400.0,NBC,500.0,353.0,500.0,353.0,690.0,200.0,200.0,490.0,60xSTAM390Gx17.3x0x1.2x5400
C07001,|0200236041|17.30|0.00|1.200|0.000,60,STAM390G,17.3,0.0,1.2,5600.0,NBC,,100.0,0.0,100.0,100.0,,,100.0,60xSTAM390Gx17.3x0x1.2x5600
