ParentItemCode,ParentThickness2,ParentLength,ChildItemCode,ChildThickness2,ChildLength,ParentQty,ProcessCode,Main_Material
|0200226117|28.60|0.00|2.000|0.000,0.0,6376.0,|0101021400|0.00|0.00|0.000|87.000,2.0,0.0,1.0,CO,
|0200226117|22.20|0.00|1.600|0.000,0.0,5715.0,|0101021400|0.00|0.00|0.000|67.500,1.6,0.0,1.0,CO,
|0200226117|22.20|0.00|1.600|0.000,0.0,705.0,|0200226117|22.20|0.00|1.600|0.000,0.0,706.5,1.0,TO,
|0200226240|35.00|0.00|2.600|0.000,0.0,868.0,|0200226240|35.00|0.00|2.600|0.000,0.0,6135.0,7.0,CM,
|0200226240|35.00|0.00|2.600|0.000,0.0,865.0,|0200226240|35.00|0.00|2.600|0.000,0.0,6135.0,7.0,CM,
|0200262901|25.40|0.00|1.200|0.000,0.0,5800.0,|0101100900|0.00|0.00|0.000|79.000,1.2,0.0,1.0,CO,
|0200262901|35.00|0.00|1.000|0.000,0.0,5800.0,|0101100900|0.00|0.00|0.000|110.500,1.0,0.0,1.0,CO,
|0200226240|28.60|0.00|2.300|0.000,0.0,505.0,|0200226240|28.60|0.00|2.300|0.000,0.0,6127.0,12.0,CT,
|0200226010|19.10|0.00|1.600|0.000,0.0,5000.0,|0101021700|0.00|0.00|0.000|58.000,1.6,0.0,1.0,CO,
|0200220139|12.70|0.00|1.600|0.000,0.0,411.0,|0200220139|12.70|0.00|1.600|0.000,0.0,5440.0,13.0,CM,
|0200226117|28.60|0.00|2.000|0.000,0.0,2099.0,|0200226117|28.60|0.00|2.000|0.000,0.0,6376.0,3.0,CM,
|0200226117|22.20|0.00|1.600|0.000,0.0,706.5,|0200226117|22.20|0.00|1.600|0.000,0.0,708.0,1.0,TO,
|0101022000|0.00|0.00|0.000|156.000,1.6,0.0,|0101022000|0.00|0.00|0.000|940.000,1.5,0.0,1.0,PS,1
|0200220139|25.40|0.00|1.600|0.000,0.0,6163.0,|0101022000|0.00|0.00|0.000|78.000,1.6,0.0,1.0,CO,
|0200220139|48.60|0.00|3.100|0.000,0.0,5611.0,|0101022000|0.00|0.00|0.000|146.500,3.1,0.0,1.0,CO,
|0200226339|40.00|20.00|1.600|0.000,0.0,453.3,|0200226339|40.00|20.00|1.600|0.000,0.0,5997.0,13.0,CM,
|0200220139|48.60|0.00|3.100|0.000,0.0,1846.0,|0200220139|48.60|0.00|3.100|0.000,0.0,5611.0,3.0,CM,
|0200220810|45.00|0.00|2.000|0.000,0.0,5850.0,|0101021700|0.00|0.00|0.000|139.000,2.0,0.0,1.0,CO,
|0200226117|28.60|0.00|2.000|0.000,0.0,2105.0,|0200226117|28.60|0.00|2.000|0.000,0.0,6376.0,3.0,CM,
|0200226117|22.20|0.00|2.300|0.000,0.0,855.0,|0200226117|22.20|0.00|2.300|0.000,0.0,5893.0,6.0,CM,
|0200226240|35.00|0.00|2.600|0.000,0.0,863.0,|0200226240|35.00|0.00|2.600|0.000,0.0,6135.0,7.0,CM,
|0200226117|15.90|0.00|1.600|0.000,0.0,1700.0,|0200226117|15.90|0.00|1.600|0.000,0.0,5721.0,3.0,CM,
|0200226010|25.40|0.00|2.000|0.000,0.0,5000.0,|0101021700|0.00|0.00|0.000|77.000,2.0,0.0,1.0,CO,
|0200220139|22.20|0.00|1.600|0.000,0.0,6000.0,|0101022000|0.00|0.00|0.000|67.500,1.6,0.0,1.0,CO,
|0200220810|38.10|0.00|2.300|0.000,0.0,425.0,|0200220810|38.10|0.00|2.300|0.000,0.0,6213.0,14.0,CM,
|0200220139|22.20|0.00|2.000|0.000,0.0,5800.0,|0101022000|0.00|0.00|0.000|67.000,2.0,0.0,1.0,CO,
|0200226240|22.20|0.00|1.600|0.000,0.0,5400.0,|0101022500|0.00|0.00|0.000|67.500,1.6,0.0,1.0,CO,
|0101021700|0.00|0.00|0.000|56.500,2.3,0.0,"|0101021700|0.00|0.00|0.000|1,120.000",2.2,0.0,1.0,PS,1
|0101021700|0.00|0.00|0.000|56.500,2.3,0.0,|0101021700|0.00|0.00|0.000|940.000,2.2,0.0,1.0,PS,
|0200226010|54.00|20.00|2.000|0.000,0.0,5176.0,|0101021700|0.00|0.00|0.000|130.000,2.0,0.0,1.0,CO,
|0200220139|48.60|0.00|2.000|0.000,0.0,1807.0,|0200220139|48.60|0.00|2.000|0.000,0.0,5590.0,3.0,CM,
|0200220139|60.50|0.00|2.000|0.000,0.0,1065.5,|0200220139|60.50|0.00|2.000|0.000,0.0,5160.0,4.0,CT,
|0200226339|40.00|20.00|1.600|0.000,0.0,453.0,|0200226339|40.00|20.00|1.600|0.000,0.0,5988.0,13.0,CM,
|0200226010|42.70|0.00|2.000|0.000,0.0,6000.0,|0101021700|0.00|0.00|0.000|131.000,2.0,0.0,1.0,CO,
|0200226010|31.80|0.00|2.000|0.000,0.0,6132.0,|0101021700|0.00|0.00|0.000|97.000,2.0,0.0,1.0,CO,
|0200226010|31.80|0.00|2.000|0.000,0.0,758.5,|0200226010|31.80|0.00|2.000|0.000,0.0,6132.0,8.0,CT,
|0200220126|42.70|0.00|3.500|0.000,0.0,198.5,|0200220126|42.70|0.00|3.500|0.000,0.0,5938.0,29.0,CT,
|0200220126|42.70|0.00|3.500|0.000,0.0,197.0,|0200220126|42.70|0.00|3.500|0.000,0.0,198.5,1.0,TO,
|0200220139|22.20|0.00|2.300|0.000,0.0,450.0,|0200220139|22.20|0.00|2.300|0.000,0.0,5800.0,12.0,CM,
|0200226117|28.60|0.00|2.000|0.000,0.0,2085.0,|0200226117|28.60|0.00|2.000|0.000,0.0,6376.0,3.0,CM,
